year,sessions,benchmark_return,annual_volatility,downside_volatility,max_drawdown,worst_day,best_day,rank_volatility,rank_downside_vol,rank_drawdown,rank_bad_return,stress_score
2008,245,-0.6595542706737691,0.3704545874961719,0.20203627193333984,-0.6885144451561747,-0.0468842957759995,0.0475104979004197,1.0,4.0,1.0,1.0,7.0
2022,249,-0.327835918519899,0.24825185645133413,0.19373679042130432,-0.40342934899938865,-0.0495276349847377,0.0481078544306496,5.0,7.0,2.0,2.0,16.0
2020,252,0.148680007076041,0.2279122808179292,0.22379743714837688,-0.33511185524378073,-0.0627636184151485,0.0498005129666572,6.0,1.0,4.0,13.0,24.0
2018,248,-0.09316833292692506,0.22278390048404692,0.17401313563671292,-0.2620876337880792,-0.0509755302975457,0.0377014562623263,7.0,8.0,7.0,4.0,26.0
2006,249,1.4447804878048918,0.32267952213137996,0.21073969344976012,-0.368104947052314,-0.0484151863462209,0.0478123590437529,3.0,2.0,3.0,21.0,29.0
2009,251,0.5678073510773225,0.34580249824759474,0.20298828772992078,-0.30315654542541126,-0.0454953606704581,0.0476289951953206,2.0,3.0,6.0,20.0,31.0
2011,248,-0.27464614368835416,0.21145650684947248,0.1283013323995312,-0.3344687039552957,-0.0403139670632652,0.0341986274644816,9.0,15.0,5.0,3.0,32.0
2007,248,0.23311651169906744,0.27294216646806174,0.15278016760941623,-0.24496228655385133,-0.0436991231455471,0.0422524809600739,4.0,10.0,8.0,16.0,38.0
2026,120,0.045323874048049495,0.21163793926529476,0.16450526900558313,-0.16383156500764562,-0.0650794189519414,0.0470987278991856,8.0,9.0,15.0,6.0,38.0
2010,250,-0.02049312853677754,0.21005937653908413,0.1463540938227459,-0.22857142857142632,-0.0395154884829229,0.0448666127728374,12.0,12.0,10.0,5.0,39.0
2014,247,0.08124764679072305,0.17648111643251405,0.14969754204051428,-0.19122902848224477,-0.0587174312909619,0.030394427039754,14.0,11.0,11.0,9.0,45.0
2025,249,0.40868185478142016,0.21127647375563569,0.19630562106626656,-0.18107254576205212,-0.0667688548598832,0.0676596911267477,10.0,6.0,12.0,18.0,46.0
2012,250,0.17687384440336107,0.200954559787197,0.1463168202315519,-0.2311348781936996,-0.046743505305525,0.0400591446769789,13.0,13.0,9.0,14.0,49.0
2021,250,0.35729750785872283,0.21076936036027258,0.20060260622618312,-0.14257243342823633,-0.0667444425203022,0.0386476229104499,11.0,5.0,16.0,17.0,49.0
2015,248,0.061213642944858426,0.16640524014014485,0.11035317624414924,-0.1749831686733777,-0.0527952543591587,0.0300200007547453,17.0,18.0,13.0,7.0,55.0
2023,249,0.12197519586134997,0.16998619518259014,0.13952228668525188,-0.1744761140104365,-0.0449865421409345,0.0365508544420063,16.0,14.0,14.0,11.0,55.0
2013,250,0.21970850554710553,0.1716098548826813,0.12683413309370717,-0.11254427334886252,-0.0385370795344125,0.0346816976127319,15.0,16.0,17.0,15.0,63.0
2024,250,0.12111369730868926,0.13530375982238046,0.11106127668285183,-0.08939062766435635,-0.0469920100266331,0.0239595719381688,19.0,17.0,19.0,10.0,65.0
2016,251,0.14824793188609342,0.13999136356743835,0.08201564614369715,-0.09170336077414354,-0.0306975545079551,0.038507199754902,18.0,19.0,18.0,12.0,67.0
2019,250,0.0766912407287128,0.10846989377077353,0.07553600305578742,-0.07198680859782758,-0.0250436749573348,0.0191818812110007,20.0,20.0,20.0,8.0,68.0
2017,250,0.4803495420157411,0.09850143442809178,0.07066346831702591,-0.0541947588709506,-0.0241554628999318,0.0244877881859788,21.0,21.0,21.0,19.0,82.0
