year,strategy,sessions,start_date,end_date,total_return,total_points,annual_volatility,sharpe,sortino,max_drawdown,avg_drawdown,ulcer_index,var_95_daily,cvar_95_daily,worst_day,best_day,win_rate,exposure,trades,exits
2008,Ito Bayes-GARCH,245,2008-01-02,2008-12-31,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
2008,"MACD(6,26,12)",245,2008-01-02,2008-12-31,-0.1195536803720243,-126.26160499999989,0.22571200309115214,-0.4672448721268303,-0.5092979670562611,-0.28587604458471527,-0.1409965048125847,0.1605631082651492,-0.02735539006539586,-0.03644706984089412,-0.0470553235908142,0.0453790813503045,0.2530612244897959,0.4897959183673469,9.0,9.0
2008,Buy & Hold,245,2008-01-02,2008-12-31,-0.6595542706737691,-611.42,0.3704545874961719,-2.800221207196385,-5.134497792318379,-0.6885144451561747,-0.46484688068598573,0.49357822502356274,-0.04215585855165152,-0.04472196622738936,-0.0468842957759995,0.0475104979004197,0.44081632653061226,1.0,1.0,0.0
2022,Ito Bayes-GARCH,249,2022-01-04,2022-12-30,-0.07917254332609358,-123.00158000000022,0.05117541055293347,-1.6052176050410687,-0.6604509302236145,-0.07917254332609358,-0.07332663184004858,0.07402124660091744,-0.0005,-0.0072127663722918,-0.0293632504913036,0.0157785242770497,0.024096385542168676,0.07630522088353414,6.0,6.0
2022,"MACD(6,26,12)",249,2022-01-04,2022-12-30,-0.09157929617589178,-99.06070499999998,0.15062795835257564,-0.5698126477704801,-0.5142688039124379,-0.2127271181536784,-0.06490143917471818,0.08200138340490251,-0.01657510716465346,-0.027440049462528836,-0.0444209083546196,0.0421789057222812,0.24899598393574296,0.5060240963855421,9.0,10.0
2022,Buy & Hold,249,2022-01-04,2022-12-30,-0.327835918519899,-491.18999999999994,0.24825185645133413,-1.493795092837218,-1.914130011900688,-0.40342934899938865,-0.18187273505668672,0.21504950215003843,-0.0321956741384734,-0.0405613087108078,-0.0495276349847377,0.0481078544306496,0.4939759036144578,1.0,1.0,0.0
2020,Ito Bayes-GARCH,252,2020-01-02,2020-12-31,0.18530345572885243,169.92914499999972,0.06883861014127741,2.5046567510197537,1.7154809803358126,-0.042309598859829434,-0.01320478899077445,0.007002484161791092,-0.004242901942488325,-0.01002509102549443,-0.0268576922670555,0.0173333588282533,0.19444444444444445,0.28174603174603174,4.0,3.0
2020,"MACD(6,26,12)",252,2020-01-02,2020-12-31,0.46126555058144714,321.0925000000001,0.1362028224550325,2.8547242851348615,2.801397141500565,-0.09171180735833773,-0.034441368422820876,0.038742878420829636,-0.01042500098246979,-0.020249528354322407,-0.0362555555555555,0.0498005129666572,0.4007936507936508,0.6111111111111112,8.0,8.0
2020,Buy & Hold,252,2020-01-02,2020-12-31,0.148680007076041,142.87999999999988,0.2279122808179292,0.7231684679229166,0.7364649794029813,-0.33511185524378073,-0.12078622718807587,0.13516707140755263,-0.028300976335435695,-0.041627876041976014,-0.0627636184151485,0.0498005129666572,0.6190476190476191,1.0,1.0,0.0
2018,Ito Bayes-GARCH,248,2018-01-02,2018-12-28,0.03876092224199579,36.7858300000001,0.1160280191269533,0.39156586984096414,0.20168172081830674,-0.10635655509702391,-0.08854034792486647,0.09163930466794828,-0.006959160445452165,-0.02144491954102075,-0.0509755302975457,0.0245180524563777,0.17338709677419356,0.25806451612903225,1.0,2.0
2018,"MACD(6,26,12)",248,2018-01-02,2018-12-28,0.18711334449313588,178.33493499999986,0.12301121968357916,1.4787492292407438,1.4342219596457946,-0.08519038389421518,-0.026455896318988006,0.03370629581563628,-0.014197973428412594,-0.020757131499017055,-0.0286962253199672,0.0270360696785891,0.38306451612903225,0.592741935483871,8.0,9.0
2018,Buy & Hold,248,2018-01-02,2018-12-28,-0.09316833292692506,-91.70000000000005,0.22278390048404692,-0.3343707510644781,-0.42808504000205183,-0.2620876337880792,-0.16308414652175765,0.17004150913313892,-0.025749443256606264,-0.035241619556093194,-0.0509755302975457,0.0377014562623263,0.5604838709677419,1.0,1.0,0.0
2006,Ito Bayes-GARCH,249,2006-01-03,2006-12-29,0.2842872021960672,85.95385999999989,0.26422500514643615,1.0904185965622666,1.24151500203053,-0.3395612792168766,-0.24553402393233245,0.23440401262893024,-0.0314126174944223,-0.04054920405301828,-0.0484151863462209,0.0455011272801804,0.26907630522088355,0.4979919678714859,5.0,4.0
2006,"MACD(6,26,12)",249,2006-01-03,2006-12-29,1.1255606904580984,415.79607499999986,0.2279886618843052,3.4651344322623183,3.9960862313928054,-0.13694654408648,-0.05372047192541686,0.05360963262805657,-0.01726024754083224,-0.030714846137723743,-0.0445896672144617,0.0478123590437529,0.2891566265060241,0.4819277108433735,7.0,7.0
2006,Buy & Hold,249,2006-01-03,2006-12-29,1.4447804878048918,444.27,0.32267952213137996,2.9693391761506955,4.54658033672575,-0.368104947052314,-0.14778588327631545,0.151819156890492,-0.03503049266127676,-0.04145075392305206,-0.0484151863462209,0.0478123590437529,0.570281124497992,1.0,1.0,0.0
