date,close,log_return,simple_return,forecast_log_return,forecast_volatility,split,forecast_return_p05,forecast_return_p50,forecast_return_p95,ito_drift_annual,previous_close,forecast_close,forecast_close_p05,forecast_close_p95,direction_actual,direction_forecast,signal,turnover,strategy_return,benchmark_return,strategy_equity,benchmark_equity,point_change,strategy_points,benchmark_points,strategy_cumulative_points,benchmark_cumulative_points,entry,exit,signal_name
2020-05-14,832.4,-0.0021720747044815525,-0.002169717457235043,-0.0004219632103050479,0.014127466408871771,test,-0.023424771645384385,-0.0007675427731083265,0.022841629054288652,-0.08118475654009165,834.21,833.8580683266626,814.8959183818044,853.4840021832757,0,0,0,0.0,-0.0,-0.002169717457235043,1.0,0.997830282542765,-1.8100000000000591,-0.0,-1.8100000000000591,-0.0,-1.8100000000000591,0,0,ito_bayes_garch
2020-05-15,827.03,-0.006472124458450246,-0.0064512253724171575,-0.0004786835666111337,0.013052241432794235,test,-0.02227008544538178,-0.00022569064858737921,0.020388561917382537,-0.09915583182870778,832.4,832.0016391511555,814.0672742400842,849.5456323940499,0,0,0,0.0,-0.0,-0.0064512253724171575,1.0,0.9913930545066589,-5.3700000000000045,-0.0,-5.3700000000000045,-0.0,-7.180000000000064,0,0,ito_bayes_garch
2020-05-18,837.01,0.011995047788379232,0.012067276882337996,-0.00048256398085506425,0.012372327288331807,test,-0.02185680993955218,-0.0004608651719661575,0.019890825916779303,-0.1023092934292695,827.03,826.6310013898351,809.1498755192259,843.6450050444613,1,0,0,0.0,0.0,0.012067276882337996,1.0,1.0033564689946175,9.980000000000018,0.0,9.980000000000018,0.0,2.7999999999999545,0,0,ito_bayes_garch
2020-05-19,845.92,0.010588774637732001,0.010645034109508789,-0.00040514900270572393,0.012301007558171408,test,-0.020393018426520585,-0.00042173394366798813,0.019975831129897665,-0.08302507117296382,837.01,836.670954919771,820.1137083981359,853.8980856144854,1,0,0,0.0,0.0,0.010645034109508789,1.0,1.0140372328310614,8.909999999999968,0.0,8.909999999999968,0.0,11.709999999999923,0,0,ito_bayes_garch
2020-05-20,852.91,0.008229239473140915,0.008263192736901903,-0.00035106910078173736,0.01204066216597816,test,-0.01987314523405718,0.00017165123910191723,0.01931141808348474,-0.07019583146854345,845.92,845.623075749781,829.2748525188509,862.4146699074356,1,0,0,0.0,0.0,0.008263192736901903,1.0,1.022416417928339,6.990000000000009,0.0,6.990000000000009,0.0,18.699999999999932,0,0,ito_bayes_garch
2020-05-21,862.73,0.011447748062664687,0.01151352428743957,-0.0002602809827111459,0.011532879807205274,test,-0.019519328611754937,-0.0004867697668364181,0.01883175573416277,-0.04882397294683104,852.91,852.6880326352309,836.423198539855,869.1239824944578,1,0,0,0.0,0.0,0.01151352428743957,1.0,1.0341880341880338,9.82000000000005,0.0,9.82000000000005,0.0,28.519999999999982,0,0,ito_bayes_garch
2020-05-22,852.74,-0.011647085559293835,-0.01157952082343261,-0.00021785390146657655,0.011517581783910862,test,-0.01902333586952053,8.65871272858732e-05,0.01894869291225468,-0.03817871262073282,862.73,862.5420713748231,846.4731177710264,879.2334716455435,0,0,0,0.0,-0.0,-0.01157952082343261,1.0,1.0222126323108087,-9.990000000000009,-0.0,-9.990000000000009,0.0,18.529999999999973,0,0,ito_bayes_garch
2020-05-25,859.04,0.007360792210607592,0.007387949433590446,-0.00027841558167969227,0.01174935575898335,test,-0.01864745943362,-0.00013705046583408232,0.01861004872657354,-0.05276380615938069,852.74,852.5026169439826,836.9859088390617,868.7581196458196,1,0,0,0.0,0.0,0.007387949433590446,1.0,1.0297646875486983,6.2999999999999545,0.0,6.2999999999999545,0.0,24.829999999999927,0,0,ito_bayes_garch
2020-05-26,869.13,0.011677224640786577,0.01174566958465273,-0.0002636560246622903,0.01118936308488804,test,-0.018047651684231596,-0.00046710174322542363,0.01789834387821382,-0.05066133028380537,859.04,858.8135387838179,843.6754097249815,874.5538149698069,1,0,0,0.0,0.0,0.01174566958465273,1.0,1.0418599633185885,10.090000000000032,0.0,10.090000000000032,0.0,34.91999999999996,0,0,ito_bayes_garch
2020-05-27,857.48,-0.013494856162110658,-0.013404208806507611,-2.3109234045849956e-05,0.011266778978448013,test,-0.019411703489496945,-0.00025823198903674133,0.01746239149786493,0.010174502570815015,869.13,869.1099153034856,852.4214019878416,884.4403771685948,0,0,0,0.0,-0.0,-0.013404208806507611,1.0,1.0278946548231258,-11.649999999999977,-0.0,-11.649999999999977,0.0,23.269999999999982,0,0,ito_bayes_garch
2020-05-28,861.39,0.004549508391098911,0.004559873116574131,-0.00010590410915530123,0.01188169254402903,test,-0.018441859706525655,-0.00012389878066875195,0.01869848566475945,-0.008898023380375536,857.48,857.3891941529225,841.811397299901,873.6644179934419,1,0,0,0.0,0.0,0.004559873116574131,1.0,1.032581724026324,3.909999999999968,0.0,3.909999999999968,0.0,27.17999999999995,0,0,ito_bayes_garch
2020-05-29,864.47,0.003569238837212829,0.0035756161552840116,-2.4116114414492665e-05,0.01108786556250213,test,-0.018237788220073776,7.682288818149714e-05,0.01852887395821869,0.009416086343376633,861.39,861.3692268706891,845.8225411118993,877.499370097585,1,0,0,0.0,0.0,0.0035756161552840116,1.0,1.0362738399204035,3.080000000000041,0.0,3.080000000000041,0.0,30.25999999999999,0,0,ito_bayes_garch
2020-06-01,878.67,0.016292798192552915,0.016426249609587273,-4.703586153442581e-06,0.010331305620900014,test,-0.016280199601979763,-0.0004708409332064169,0.016676503886082928,0.01226838270623233,864.47,864.4659339004405,850.5101983584634,879.0072153733261,1,0,0,0.0,0.0,0.016426249609587273,1.0,1.0532959326788214,14.199999999999932,0.0,14.199999999999932,0.0,44.45999999999992,0,0,ito_bayes_garch
2020-06-02,874.8,-0.004414111771186668,-0.004404383898391928,0.00018912488361372924,0.01146790934027042,test,-0.01862911098778911,-0.000302726894069486,0.018278809112095704,0.0642326984263188,878.67,878.8361940767072,862.4526851347699,894.878728029763,0,1,0,0.0,-0.0,-0.004404383898391928,1.0,1.048656813032689,-3.8700000000000045,-0.0,-3.8700000000000045,0.0,40.58999999999992,0,0,ito_bayes_garch
2020-06-03,881.17,0.007255281061254948,0.007281664380429875,0.00010819433706574682,0.010799797277193202,test,-0.016994053038907234,8.727654206871752e-05,0.01775639343732352,0.04196372062181087,874.8,874.8946535264605,860.0592100420699,890.4720204934181,1,1,0,0.0,0.0,0.007281664380429875,1.0,1.0562927799954442,6.3700000000000045,0.0,6.3700000000000045,0.0,46.95999999999992,0,0,ito_bayes_garch
2020-06-04,883.9,0.003093364203033744,0.0030981535912479874,0.0001412204884729336,0.010351922933380239,test,-0.016633696762917167,0.00020543577860829097,0.01695010995201459,0.04909349433171902,881.17,881.2944480449277,866.6341133362806,896.2332294391213,1,1,0,0.0,0.0,0.0030981535912479874,1.0,1.0595653372651965,2.730000000000018,0.0,2.730000000000018,0.0,49.68999999999994,0,0,ito_bayes_garch
2020-06-05,886.22,0.0026212927128419494,0.0026247313044462928,0.00014679435507414164,0.009654721394623193,test,-0.01571388781610799,0.00018618723148003193,0.016105659067375103,0.04874244852003319,883.9,884.0297610543122,870.1190542490681,898.2510483847,1,1,0,0.0,0.0,0.0026247313044462928,1.0,1.0623464115750227,2.32000000000005,0.0,2.32000000000005,0.0,52.00999999999999,0,0,ito_bayes_garch
