date,close,log_return,simple_return,forecast_log_return,forecast_volatility,split,forecast_return_p05,forecast_return_p50,forecast_return_p95,ito_drift_annual,previous_close,forecast_close,forecast_close_p05,forecast_close_p95,direction_actual,direction_forecast,macd_fast_ema,macd_slow_ema,macd_line,macd_signal_line,macd_histogram,signal,turnover,strategy_return,benchmark_return,strategy_equity,benchmark_equity,point_change,strategy_points,benchmark_points,strategy_cumulative_points,benchmark_cumulative_points,entry,exit,signal_name
2006-01-03,305.3,-0.007180187505739788,-0.0071544715447153795,0.00027939811925458796,0.012015040158192589,train,,,,,307.5,307.5859269250224,,,0,1,,,,,,0,0.0,-0.0,-0.0071544715447153795,1.0,0.9928455284552846,-2.1999999999999886,-0.0,-2.1999999999999886,-0.0,-2.1999999999999886,0,0,macd_6_26_12
2006-01-04,305.1,-0.0006553080182083448,-0.0006550933508024936,0.00016284209386405082,0.01155097618681227,train,,,,,305.3,305.34971973938,,,0,1,,,,,,0,0.0,-0.0,-0.0006550933508024936,1.0,0.9921951219512196,-0.19999999999998863,-0.0,-0.19999999999998863,-0.0,-2.3999999999999773,0,0,macd_6_26_12
2006-01-05,306.7,0.005230479397582144,0.005244182235332628,0.00015025516906293703,0.010703403177502933,train,,,,,305.1,305.1458462963164,,,1,1,,,,,,0,0.0,0.0,0.005244182235332628,1.0,0.9973983739837399,1.599999999999966,0.0,1.599999999999966,0.0,-0.8000000000000114,0,0,macd_6_26_12
2006-01-06,307.5,0.0026050161263659888,0.002608412129116333,0.00022722826343444017,0.010096386064967195,train,,,,,306.7,306.76969882686717,,,1,1,,,,,,0,0.0,0.0,0.002608412129116333,1.0,1.0,0.8000000000000114,0.0,0.8000000000000114,0.0,0.0,0,0,macd_6_26_12
2006-01-09,306.3,-0.0039100734078427735,-0.0039024390243902474,0.00026271763452297077,0.009413166982171898,train,,,,,307.5,307.5807962854556,,,0,1,,,,,,0,0.0,-0.0,-0.0039024390243902474,1.0,0.9960975609756098,-1.1999999999999886,-0.0,-1.1999999999999886,0.0,-1.1999999999999886,0,0,macd_6_26_12
2006-01-10,306.4,0.0003264240277065511,0.00032647730982682255,0.00020135306037053334,0.008958992838417931,train,,,,,306.3,306.3616806519771,,,1,1,306.2699648955792,,,,,0,0.0,0.0,0.00032647730982682255,1.0,0.9964227642276421,0.0999999999999659,0.0,0.0999999999999659,0.0,-1.1000000000000227,0,0,macd_6_26_12
2006-01-11,305.0,-0.004579661259024093,-0.004569190600522077,0.00020316568308554808,0.008361405888487947,train,,,,,306.4,306.462256289254,,,0,1,305.9071177825566,,,,,0,0.0,-0.0,-0.004569190600522077,1.0,0.991869918699187,-1.3999999999999773,-0.0,-1.3999999999999773,0.0,-2.5,0,0,macd_6_26_12
2006-01-12,304.2,-0.0026263967822197642,-0.0026229508196721207,0.00013483958391255323,0.008107085608844463,train,,,,,305.0,305.0411288459292,,,0,1,305.4193698446833,,,,,0,0.0,-0.0,-0.0026229508196721207,1.0,0.9892682926829268,-0.8000000000000114,-0.0,-0.8000000000000114,0.0,-3.3000000000000114,0,0,macd_6_26_12
2006-01-13,306.8,0.0085106896679088,0.008547008547008517,9.594893086843607e-05,0.007714603155505365,train,,,,,304.2,304.22918906507755,,,1,1,305.8138356033452,,,,,0,0.0,0.0,0.008547008547008517,1.0,0.9977235772357723,2.6000000000000227,0.0,2.6000000000000227,0.0,-0.6999999999999886,0,0,macd_6_26_12
2006-01-17,308.9,0.0068215304314351854,0.006844850065188979,0.00021282032999399669,0.007912951541965266,train,,,,,306.8,306.86530022560345,,,1,1,306.69559685953226,,,,,0,0.0,0.0,0.006844850065188979,1.0,1.0045528455284551,2.099999999999966,0.0,2.099999999999966,0.0,1.3999999999999773,0,0,macd_6_26_12
2006-01-18,310.4,0.0048441883845278255,0.004855940433797334,0.00030335060535620475,0.007832384661190796,train,,,,,308.9,308.9937192161663,,,1,1,307.75399775680876,,,,,0,0.0,0.0,0.004855940433797334,1.0,1.009430894308943,1.5,0.0,1.5,0.0,2.8999999999999773,0,0,macd_6_26_12
2006-01-19,310.5,0.00032211306446949806,0.0003221649484537181,0.0003647132780477131,0.0075467689406219715,train,,,,,310.4,310.51322764806423,,,1,1,308.53856982629196,,,,,0,0.0,0.0,0.0003221649484537181,1.0,1.0097560975609756,0.10000000000002274,0.0,0.10000000000002274,0.0,3.0,0,0,macd_6_26_12
2006-01-20,313.4,0.00929642854838697,0.009339774557165725,0.0003641452752000036,0.0071029191849040245,train,,,,,310.5,310.6130876968752,,,1,1,309.9275498759228,,,,,0,0.0,0.0,0.009339774557165725,1.0,1.0191869918699186,2.8999999999999773,0.0,2.8999999999999773,0.0,5.899999999999977,0,0,macd_6_26_12
2006-01-23,308.3,-0.016406995029815796,-0.016273133375877324,0.00048167531826825315,0.007560294844327568,train,,,,,313.4,313.5509934067245,,,0,1,309.46253562565914,,,,,0,0.0,-0.0,-0.016273133375877324,1.0,1.0026016260162602,-5.099999999999966,-0.0,-5.099999999999966,0.0,0.8000000000000114,0,0,macd_6_26_12
2006-01-24,306.8,-0.004877265399003683,-0.0048653908530651435,0.00026234193712430445,0.009902334332739427,train,,,,,308.3,308.3808906292537,,,0,1,308.7018111611851,,,,,0,0.0,-0.0,-0.0048653908530651435,1.0,0.9977235772357725,-1.5,-0.0,-1.5,0.0,-0.6999999999999886,0,0,macd_6_26_12
2006-01-25,310.9,0.013275247571606918,0.013363754889178514,0.00019644953537907385,0.009473377784439574,train,,,,,306.8,306.8602766379192,,,1,1,309.3298651151322,,,,,0,0.0,0.0,0.013363754889178514,1.0,1.0110569105691058,4.099999999999966,0.0,4.099999999999966,0.0,3.3999999999999773,0,0,macd_6_26_12
2006-01-26,313.3,0.00768988089343825,0.0077195239626890455,0.00036200394090094533,0.010185406706387998,train,,,,,310.9,311.0125673989178,,,1,1,310.4641893679516,,,,,0,0.0,0.0,0.0077195239626890455,1.0,1.0188617886178863,2.400000000000034,0.0,2.400000000000034,0.0,5.800000000000011,0,0,macd_6_26_12
2006-01-27,312.3,-0.0031969336691135553,-0.0031918289179699855,0.00045360240280766163,0.009876817430426456,train,,,,,313.3,313.4421458692163,,,0,1,310.988706691394,,,,,0,0.0,-0.0,-0.0031918289179699855,1.0,1.0156097560975612,-1.0,-0.0,-1.0,0.0,4.800000000000011,0,0,macd_6_26_12
2006-02-06,313.1,0.0025583640433275434,0.002561639449247588,0.000408534056240733,0.009314079630609476,train,,,,,312.3,312.42761125076004,,,1,1,311.5919333509957,,,,,0,0.0,0.0,0.002561639449247588,1.0,1.0182113821138215,0.8000000000000114,0.0,0.8000000000000114,0.0,5.600000000000023,0,0,macd_6_26_12
2006-02-07,318.9,0.018354945683651813,0.01852443308846996,0.00043475149510764535,0.008712066781460448,train,,,,,313.1,313.23615028674413,,,1,1,313.6799523935683,,,,,0,0.0,0.0,0.01852443308846996,1.0,1.0370731707317074,5.7999999999999545,0.0,5.7999999999999545,0.0,11.399999999999977,0,0,macd_6_26_12
2006-02-08,325.0,0.01894760831372544,0.01912825337096269,0.0006506574491864908,0.010829078219623074,train,,,,,318.9,319.10756217916185,,,1,1,316.91425170969165,,,,,0,0.0,0.0,0.01912825337096269,1.0,1.056910569105691,6.100000000000023,0.0,6.100000000000023,0.0,17.5,0,0,macd_6_26_12
2006-02-09,325.5,0.0015372793188870304,0.0015384615384614886,0.0008684782928119545,0.012461285461387741,train,,,,,325.0,325.28237804701723,,,1,1,319.3673226497798,,,,,0,0.0,0.0,0.0015384615384614886,1.0,1.0585365853658535,0.5,0.0,0.5,0.0,18.0,0,0,macd_6_26_12
2006-02-10,325.2,-0.0009220839749684018,-0.0009216589861751334,0.0008763465401775436,0.01151769483437975,train,,,,,325.5,325.7853758246224,,,0,1,321.03380189269984,,,,,0,0.0,-0.0,-0.0009216589861751334,1.0,1.057560975609756,-0.30000000000001137,-0.0,-0.30000000000001137,0.0,17.69999999999999,0,0,macd_6_26_12
2006-02-13,324.5,-0.0021548415295109535,-0.0021525215252151675,0.0008554345574432884,0.010679311128629233,train,,,,,325.2,325.4783063375386,,,0,1,322.0241442090713,,,,,0,0.0,-0.0,-0.0021525215252151675,1.0,1.0552845528455284,-0.6999999999999886,-0.0,-0.6999999999999886,0.0,17.0,0,0,macd_6_26_12
2006-02-14,325.6,0.0033840979842398866,0.003389830508474745,0.000820833682880596,0.009969591248502148,train,,,,,324.5,324.7664698788592,,,1,1,323.0458172921938,,,,,0,0.0,0.0,0.003389830508474745,1.0,1.0588617886178862,1.1000000000000227,0.0,1.1000000000000227,0.0,18.100000000000023,0,0,macd_6_26_12
2006-02-15,327.7,0.00642892157638375,0.006449631449631399,0.0008499616863051334,0.009331466041094826,train,,,,,325.6,325.8768651707866,,,1,1,324.3755837801384,315.3413070049677,9.034276775170724,,,0,0.0,0.0,0.006449631449631399,1.0,1.065691056910569,2.099999999999966,0.0,2.099999999999966,0.0,20.19999999999999,0,0,macd_6_26_12
2006-02-16,331.1,0.010321888848432437,0.010375343301800566,0.0009126466288902863,0.00900037079470878,train,,,,,327.7,327.9992108163905,,,1,1,326.2968455572417,316.5086175971923,9.788227960049369,,,0,0.0,0.0,0.010375343301800566,1.0,1.076747967479675,3.400000000000034,0.0,3.400000000000034,0.0,23.600000000000023,0,0,macd_6_26_12
