mu,omega,alpha[1],beta[1]
0.06879118936910793,0.03197738852870445,0.18121311846981658,0.8134436575723035
0.08162172514396071,0.03392463069260851,0.19117903777333406,0.8050550947941726
0.09250253272198888,0.035466813036322264,0.1784515727446252,0.8202307868918903
0.05166578896414431,0.040036779087266064,0.18291143865998621,0.8108104821398396
0.061331682163919585,0.027393464788103804,0.1520421255247084,0.8447645773638955
0.08143765346208162,0.03741636705543671,0.1533877283383797,0.8350144678744645
0.05269763118823746,0.0319069747439946,0.17002601792890504,0.8260401293217722
0.10294042471389583,0.043916931444170915,0.17376182017813024,0.8165929968464954
0.08287688353626867,0.03761591229952205,0.17696775553102176,0.8180103668741826
0.07263113804603538,0.025175557011130868,0.13718558452545093,0.8590807762150489
0.036157677209872625,0.028593687834481303,0.1570487303487617,0.8376937742491878
0.09784835128529432,0.04620386636850052,0.17944519987238525,0.8115980857826758
0.07567338984822596,0.033058811287632654,0.1806850233435699,0.8121276561027894
0.06566258456099527,0.04046898329823295,0.15746030006384074,0.8314643608698135
0.06990557684583412,0.028248618508375897,0.1620572035556266,0.8350144159133973
0.06646136303243709,0.02954898474326148,0.18442361730662835,0.8134961013679337
0.08033501445425567,0.026608780282985186,0.13949969068365886,0.8530769243939554
0.051297054851467336,0.03816826766384726,0.17833022318621244,0.8173028858534545
0.07948499558323689,0.016190301929402313,0.13736209905162838,0.858883224702148
0.07029474307838014,0.028369500276838242,0.16869849600521533,0.8285431869787249
0.07116156999303161,0.030362456894028993,0.16744325145072275,0.8248779820976487
0.0722092203476531,0.040413824540622444,0.19674480810008288,0.7993082016846838
0.06294001657880235,0.030769741534284956,0.18593579132369525,0.812999736668813
0.09072185341062863,0.038045831975172355,0.1594959403997347,0.8259354836786235
0.06133741482314446,0.025973273525956315,0.1204004675169161,0.8670378005688508
0.0728729159615308,0.045993746015173975,0.1478329372058146,0.8323442036560497
0.0835408511038919,0.029062853565444725,0.17599447120784772,0.8227401994230091
0.06372217007433983,0.024563862110194665,0.1450765658146524,0.8516343534770904
0.045753486210372764,0.036840604210685864,0.1824595575478566,0.8145584135380772
0.0670632563657442,0.03219025727174473,0.17118081042638877,0.8212332620000808
0.062363290374945944,0.02858879645094091,0.16373181405083595,0.8345716370289663
0.07451570925782905,0.04112626644737745,0.17687798156906478,0.8109385809144555
0.0458933425051789,0.04144888755451969,0.2129826594811901,0.7858680972454215
0.054271801854719325,0.03400936565176565,0.1719777573019019,0.816925044231077
0.10085336915604563,0.026285659744837327,0.17193651385184508,0.8240879376000839
0.054695229975795394,0.033573914268965124,0.15056488387610734,0.8445632384554065
0.07046108160777152,0.02287341283742706,0.1279118616164316,0.8563458126860088
0.052981082419040405,0.03160955980623956,0.1682047360340482,0.8263444688569658
0.06857658768244063,0.04276327271926885,0.18122993334794923,0.812444477688369
0.05926499088350575,0.023917001308070986,0.15265173808896954,0.8336761601544306
0.043910991468231436,0.02821937879814428,0.16480575104243783,0.8315428730260054
0.039993445051128756,0.03061025819370649,0.1556642832997549,0.8424688930287434
0.05958289798578329,0.038736363840610424,0.16710028170162025,0.829319829164303
0.0716711778313682,0.03119974499063093,0.15925447631778133,0.833244030924688
0.07017908511133844,0.02954022177707295,0.15549931290104885,0.8420587017219153
0.08331577282790062,0.03407760924314306,0.15737554068462606,0.8339942993733804
0.054278127522691795,0.02892967055724802,0.14276393309340374,0.8523425913969311
0.0849008565934653,0.037353996120211244,0.17679740368644686,0.8167583869750016
0.07216219400579951,0.028731584083382083,0.15991932504282214,0.8389174902781856
0.06002053589053994,0.016741938028716617,0.1358740047759477,0.8606334892313272
0.06293147551336915,0.02990739779835946,0.1568215247509202,0.838491195145635
0.06947947238784548,0.025656286693785422,0.13105827770225117,0.8657530767477439
0.07259099545853845,0.024986098699039887,0.13984325110560783,0.8568796464614831
0.07603547745809104,0.02687686035884307,0.13166828964366978,0.8569957059296259
0.06570205918617585,0.037071911843434543,0.18391160095083103,0.8126233818429694
0.05667354405215111,0.022257803923387894,0.13964808238998372,0.8533175771565907
0.06293709166438008,0.03961592913390674,0.15886723575672143,0.8268694890553117
0.06629728523732899,0.02789766932272668,0.16214361414712572,0.8363636209835261
0.07717932339127188,0.02956779947510709,0.15958199635395093,0.8343771745483363
0.05635882073934537,0.031806000219808596,0.15556368688339964,0.8379617943648585
0.06357399970569817,0.03265754456892395,0.18409149370609962,0.8096199734222179
0.056351876636021106,0.05261601684227379,0.1736020369013288,0.812845852586198
0.06072802437449065,0.02227743519376784,0.17315476929863757,0.8256193005454348
0.050091882132773866,0.027558617278518025,0.16414847790047032,0.828512402480077
0.07088726271520568,0.03610298257613456,0.1757601700851314,0.8206174710870573
0.062494753795610224,0.03516977881390372,0.14661211210394473,0.8448109039318299
0.07978989962366367,0.04327384312092714,0.1613647013930913,0.830407872146389
0.05543704709449219,0.043811429728003726,0.17849967978162704,0.8049710497678504
0.06240702239541682,0.03985340198653939,0.1856452139230025,0.8079868470393107
0.05673203630127391,0.02842738578528726,0.17727496422938607,0.821593299492981
0.0639688885774817,0.017887972835347717,0.11644854451898008,0.875772824380013
0.08707544491206638,0.03089904241898215,0.1619619346637807,0.836421819721437
0.0774602471007016,0.03656602640573933,0.17516149594294564,0.8158151626270456
0.07298341020397536,0.019507083361134207,0.153070463308413,0.8454845557395949
0.07110909886375615,0.03642033387552069,0.18213452328036678,0.8103283811480899
0.0465457681596919,0.03019966953683026,0.13248577134955591,0.8530001987194294
0.06346820824341261,0.016636466947980374,0.1431011133710556,0.8524168812495042
0.04188946765272483,0.04000783455294456,0.1652142852862063,0.8301646387259586
0.06363816975890907,0.03239543048234781,0.1407372804042492,0.8447568278629252
0.06470784374913861,0.02581779882510117,0.1405595723993881,0.8514163401485915
0.07423306962072232,0.03474114501329954,0.1458848601705436,0.8473580329886198
0.09402630634756284,0.031843806942816466,0.17076586354408832,0.8245586035387591
0.0729983617643189,0.015161049243255408,0.12422834728160227,0.8729352410917794
0.03305379408940058,0.037192451187929174,0.17190405922105406,0.8254791942343297
0.03253086575995534,0.03604998723993705,0.16201941277276838,0.8330762956716841
0.059164861110439684,0.03139263214354753,0.1753734955964351,0.8168203445064857
0.08081945864957235,0.024667196690398796,0.15461891277104783,0.8369796290748281
0.07625180440734497,0.039015749935857706,0.14200365492311756,0.8382218815638467
0.07546549281128415,0.03459839496934293,0.17464738645937178,0.8183870396942431
0.10642961949073111,0.032457721374964485,0.17761859383225764,0.8164159589489841
0.07651461392055857,0.04749215507148408,0.1788016909881297,0.8074295535071764
0.038839216830743165,0.029049177883712543,0.15739070272353767,0.8411306373986401
0.01580360745502301,0.02312578878770044,0.14392001545979777,0.8546472227569312
0.07339494557638615,0.04436097655278716,0.18824061646211748,0.7969134284942564
0.06127956222122326,0.025766700365292033,0.14773692477635708,0.8421815740063797
0.056905550680067335,0.019839258300846943,0.1417337892265858,0.8564867999935541
0.07907759439171368,0.03403743386418725,0.17276547210309576,0.8255105893932851
0.09167030832616557,0.04263196014081647,0.1837129391966712,0.8022054095231492
0.07543813451839795,0.01863434765305741,0.11715642821554315,0.8765282716763192
0.051117972292402995,0.035029296101870264,0.15804512106272942,0.8369749800530829
0.07570958844080294,0.02049955432307283,0.15025032366329916,0.8472751034531392
0.042409982497063306,0.0376665277731905,0.17905715546814063,0.8154707972507524
0.07217890385240032,0.044491446849361745,0.15743007076434945,0.8301888824854794
0.06054099142797267,0.03764285773931071,0.1587932877896975,0.8288533010998682
0.06103812323748191,0.0244097471238185,0.11357778010679423,0.8753843932967548
0.042045255397656106,0.0428946536092253,0.19153230896475396,0.8072235496392376
0.029489617751741408,0.030743364104862635,0.16561054448710685,0.8316594636066601
0.07366655887900779,0.026402039932329355,0.15415918252716354,0.8446244503107351
0.05077824792142365,0.027228738540769962,0.14380441417283096,0.8440193333529247
0.05039152795724692,0.030312943500589055,0.1752684572206194,0.8203411699728841
0.04665174025079259,0.03002840031312191,0.153375490678183,0.8356394377070282
0.058251436147838134,0.040916945786088246,0.1686168667154248,0.8209295731573988
0.08901537615801995,0.026235721528096174,0.17376750785405598,0.820255757451468
0.025504355805947142,0.03903538475633099,0.18915924538282602,0.8071928839610598
0.08514260494811127,0.0360445925045168,0.16451048894622022,0.8253393715141449
0.08278838169744146,0.04488394711133791,0.19959727420474682,0.7945583745665629
0.044952027556434015,0.03323794237350861,0.13609502292366846,0.8456197131843242
0.08036236268711427,0.030338964371544146,0.16587681911912044,0.830410309306748
0.0809716783599009,0.036353411755420326,0.1720228380466159,0.8200595338807908
0.038103794723777853,0.026176892477668592,0.15044676709780772,0.8461194431644106
0.05995764481135943,0.023194319936478976,0.13798422709206543,0.8547580573424962
0.05492434583723109,0.033765732157686544,0.16569103995328407,0.8306097110056635
0.06940446974002737,0.0329226239170009,0.14874967477880938,0.8357905909997917
0.08480660974309016,0.0317102523759067,0.15577646489042607,0.82993732689389
0.08900412363439679,0.031931886687742016,0.1656381393745456,0.8301039645286538
0.06054239542245728,0.03178774073238098,0.16567255651215415,0.829137374044873
