year,strategy,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,time_under_water_days,avg_time_under_water_days,var_95_daily,cvar_95_daily,worst_month,worst_year,hit_rate,average_win,average_loss,profit_factor,turnover,annual_turnover,exposure_ratio,active_day_ratio,return_per_unit_drawdown,return_per_unit_exposure,total_points,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days
2006,Buy & Hold,1.4435492889840478,1.4699949008640232,0.3226971651082768,2.967608723766087,4.545005577275796,3.993412510848724,-0.36810494705231533,148.0,12.0,-0.0350304926612768,-0.0414507539230521,-0.1807602792862687,1.4435492889840478,0.570281124497992,0.01721561673238922,-0.01413565204764334,1.63150803970887,1.0,1.0120481927710843,1.0,1.0,3.9215699233156176,1.4435492889840478,444.11625,1.0,1.0,1.4435492889840478,444.11625,249.0
2007,Buy & Hold,0.23311651169905923,0.23729119221132255,0.2729421664680624,0.9159234548878967,1.636299632391602,0.9686845903896127,-0.24496228655385355,204.0,37.666666666666664,-0.026044766098849665,-0.03271109431641771,-0.13762332801284394,0.23311651169905923,0.4879032258064516,0.014772495116592697,-0.012137369589280493,1.1596072656392125,0.0,0.0,1.0,1.0,0.9516424547572546,0.23311651169905923,175.25,1.0,1.0,0.23311651169905923,175.25,248.0
2008,Buy & Hold,-0.6595542706737718,-0.6698754438317314,0.3704545874961725,-2.800221207196386,-5.134497792318391,-0.9729286706247422,-0.6885144451561771,244.0,244.0,-0.042155858551651534,-0.04472196622738941,-0.2399824830304359,-0.6595542706737718,0.44081632653061226,0.017802607910253277,-0.02171274841201929,0.6559319924841382,0.0,0.0,1.0,1.0,-0.957938174447689,-0.6595542706737718,-611.42,1.0,0.0,-0.6595542706737718,-611.42,245.0
2009,Buy & Hold,0.5678073510773147,0.5706186676501226,0.3458024982475953,1.4787830095203658,2.5191939139790267,1.8822574549706232,-0.30315654542541226,57.0,13.6,-0.03541045702930945,-0.04045887661908803,-0.18964379947229582,0.5678073510773147,0.5418326693227091,0.018095305942346963,-0.016970643327553377,1.2609814339307737,0.0,0.0,1.0,1.0,1.8729839736117997,0.5678073510773147,179.2,1.0,1.0,0.5678073510773147,179.2,251.0
2010,Buy & Hold,-0.02049312853678331,-0.020655368659710294,0.2100593765390847,0.005348592377697063,0.007676737635924823,-0.09036723788623255,-0.22857142857142854,169.0,80.66666666666667,-0.02537638325346215,-0.029791317306958002,-0.07855841263413621,-0.02049312853678331,0.536,0.00910951386699915,-0.010792568610962637,1.0009139401979776,0.0,0.0,1.0,1.0,-0.089657437348427,-0.02049312853678331,-10.139999999999986,1.0,0.0,-0.02049312853678331,-10.139999999999986,250.0
2011,Buy & Hold,-0.2746461436883594,-0.27839301317584253,0.21145650684947304,-1.4365624891274817,-2.367633134751383,-0.832343982811164,-0.33446870395530004,227.0,79.66666666666667,-0.0202099823765375,-0.02896949757189727,-0.12229211798033668,-0.2746461436883594,0.45564516129032256,0.010330074560733937,-0.01086109005512305,0.7961130014394714,0.0,0.0,1.0,1.0,-0.8211415311522371,-0.2746461436883594,-133.11,1.0,0.0,-0.2746461436883594,-133.11,248.0
2012,Buy & Hold,0.17687384440335507,0.1784081845478509,0.20095455978719756,0.9175484288107227,1.2601800688621891,0.7718791120669216,-0.23113487819370215,167.0,15.857142857142858,-0.022148500863208326,-0.030084525547077523,-0.09407518416109117,0.17687384440335507,0.52,0.009800828512051387,-0.00916962641409998,1.1676361682168996,0.0,0.0,1.0,1.0,0.7652408229584731,0.17687384440335507,62.18000000000001,1.0,1.0,0.17687384440335507,62.18000000000001,250.0
2013,Buy & Hold,0.2197085055470973,0.22164803498652574,0.17160985488268188,1.252681501939369,1.6949103961093017,1.9694297043392317,-0.11254427334886341,146.0,22.6,-0.018245584479258954,-0.025440426064635376,-0.07187638650436912,0.2197085055470973,0.54,0.008127339194761614,-0.0076862994035638834,1.2412721634391466,0.0,0.0,1.0,1.0,1.9521962247341318,0.2197085055470973,90.89999999999998,1.0,1.0,0.2197085055470973,90.89999999999998,250.0
2014,Buy & Hold,0.08124764679071772,0.08295876271394387,0.17648111643251466,0.5402584647450638,0.6369203910811094,0.43381887871508623,-0.19122902848224743,91.0,19.181818181818183,-0.018018095062699822,-0.028442079936130023,-0.05945181811042166,0.08124764679071772,0.5587044534412956,0.0075688472997168955,-0.008725204444842522,1.098263929036319,0.0,0.0,1.0,1.0,0.4248708861597353,0.08124764679071772,41.0,1.0,1.0,0.08124764679071772,41.0,247.0
2015,Buy & Hold,0.061213642944851765,0.062231067414410646,0.16640524014014546,0.4459036983495155,0.6723930794621245,0.3556403046430738,-0.17498316867337838,121.0,32.714285714285715,-0.01508764376882141,-0.02242678996159458,-0.0906675683508843,0.061213642944851765,0.4879032258064516,0.008532322998780496,-0.007554237479752962,1.0761140547421872,0.0,0.0,1.0,1.0,0.3498258913067946,0.061213642944851765,33.39999999999998,1.0,1.0,0.061213642944851765,33.39999999999998,248.0
2016,Buy & Hold,0.14824793188608498,0.1488804990043231,0.13999136356743894,1.0612673971399762,1.8114625321001545,1.6235010118222408,-0.0917033607741442,52.0,11.631578947368421,-0.013153203595603902,-0.017433707079585078,-0.058338946168592365,0.14824793188608498,0.549800796812749,0.006723125410403065,-0.006900996400242966,1.1897618923999673,0.0,0.0,1.0,1.0,1.616603040876595,0.14824793188608498,85.84000000000003,1.0,1.0,0.14824793188608498,85.84000000000003,251.0
2017,Buy & Hold,0.48034954201573377,0.4850025104971447,0.09850143442809237,4.066538222507237,5.668556293848309,8.949251193312554,-0.05419475887095104,25.0,5.451612903225806,-0.009076777296440769,-0.01293265249485942,-0.006340767814372983,0.48034954201573377,0.608,0.005322058543559494,-0.004199715275109163,1.965519296849446,0.0,0.0,1.0,1.0,8.86339476404989,0.48034954201573377,319.37,1.0,1.0,0.48034954201573377,319.37,250.0
2018,Buy & Hold,-0.09316833292692983,-0.09459763633723017,0.22278390048404753,-0.3343707510644706,-0.4280850400020433,-0.36093895377650564,-0.26208763378808175,185.0,27.5,-0.025749443256606323,-0.03524161955609327,-0.10575072799414209,-0.09316833292692983,0.5604838709677419,0.008884354270591647,-0.012002158205275417,0.9439626771423638,0.0,0.0,1.0,1.0,-0.35548542134675337,-0.09316833292692983,-91.70000000000005,1.0,0.0,-0.09316833292692983,-91.70000000000005,248.0
