strategy,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,time_under_water_days,avg_time_under_water_days,var_95_daily,cvar_95_daily,worst_month,worst_year,hit_rate,average_win,average_loss,profit_factor,turnover,annual_turnover,exposure_ratio,active_day_ratio,return_per_unit_drawdown,return_per_unit_exposure,total_points,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days
Buy & Hold,5.063188923729558,0.09306083445020508,0.22326649167285437,0.5105583515200531,0.6695421778874764,0.11649596016320196,-0.7988331468304475,2744.0,90.03636363636363,-0.024168899545486976,-0.035111489291823596,-0.24899398088847058,-0.6595542706737718,0.5411442006269592,0.009632205063858536,-0.010404877499396205,1.0950287904007092,1.0,0.0493730407523511,1.0,1.0,6.338230885659807,5.063188923729558,1557.71625,1.0,1.0,5.063188923729558,1557.71625,5104.0
MACD only,59.563818998648905,0.2245972717934781,0.14282596405778644,1.4904605273981246,1.562412766524304,0.6779483507403161,-0.3312896499389947,430.0,24.876344086021504,-0.012729515749372557,-0.021943122603117073,-0.1297636177860404,-0.11955368037202607,0.3089733542319749,0.009008950612979037,-0.007217740349424351,1.4357115359151498,383.0,18.90987460815047,0.5411442006269592,0.5411442006269592,179.7937816941075,110.07014198736569,2959.7043100000005,192.0,0.515625,0.02421479088797222,15.415126614583334,15.380208333333334
Ito-Bayes-GARCH only,2.5931698076431124,0.06518643023913873,0.12080357038484225,0.5833168431951952,0.4421733355428415,0.17345627873730762,-0.3758089975968001,2665.0,108.1304347826087,-0.009443202170899584,-0.020528172142425936,-0.16930468282180788,-0.0780532634570329,0.18083855799373041,0.009289415416192463,-0.008300695660108562,1.1996994043305302,266.0,13.133228840125392,0.3236677115987461,0.3236677115987461,6.900233427687343,8.011827299158865,913.2757299999987,133.0,0.46616541353383456,0.011583021144862479,6.8667348120300655,13.421052631578947
MACD + Ito hard gate,4.5255341803898075,0.08806107807562058,0.08342618405258952,1.0534560233207455,0.6607406475370406,0.5082851576724311,-0.1732513270284637,1988.0,83.54237288135593,-0.003406100982602289,-0.011785426807990378,-0.062040219561317,-0.06896730461320377,0.11383228840125392,0.008743291111714405,-0.006285363060546814,1.5394351506968462,254.0,12.54075235109718,0.1920062695924765,0.1920062695924765,26.121209332187693,23.569720874193447,1266.69165,127.0,0.47244094488188976,0.014726190913171249,9.973949999999999,8.716535433070867
MACD + volatility targeting,34.73499777267397,0.19311130694978806,0.12525366208278205,1.472770264700986,1.54133930551759,0.6806848973182524,-0.2837014714306191,432.0,25.01081081081081,-0.011909679398954365,-0.019538790761626845,-0.08000345431668965,-0.0998807651259801,0.30877742946708464,0.00814445219162722,-0.0066225689827081055,1.4106032106670798,416.3383579683302,20.555890714737306,0.51717249515797,0.5411442006269592,122.43502861481853,67.1632735651655,2636.3201210782127,192.0,0.515625,0.02068442609673349,13.730833963949022,15.380208333333334
MACD + tail-risk gate,9.558521968635585,0.12341029367451029,0.102902589615589,1.1826262793726148,1.1022335726020276,0.6004574814126812,-0.20552711473286334,1028.0,30.41025641025641,-0.009203688065082977,-0.016520449574613863,-0.07306132516829267,-0.13535863850365992,0.24980407523510972,0.007345318855523205,-0.00569345599202709,1.3571949963208076,455.0,22.46473354231975,0.44337774294670845,0.44337774294670845,46.50735247784412,21.558416318124625,1985.3491000000001,228.0,0.5263157894736842,0.011045234892284598,8.707671491228071,10.921052631578947
MACD + full defensive exposure,0.6325946379580976,0.024496436719898318,0.05536412013248505,0.4647683578621258,0.23384778773457157,0.16296516005717482,-0.15031701690903732,4161.0,180.07142857142858,-0.0005,-0.006380398641392277,-0.044656945725623176,-0.05573463915515209,0.05211598746081505,0.008791283408729143,-0.0055405993318937505,1.2867771148678144,152.21198538597716,7.515168557458121,0.08260657139796593,0.10011755485893417,4.208403352901191,7.657921485574141,284.3374756628144,85.0,0.5176470588235295,0.006227732831515685,3.3451467725036985,7.011764705882353
