regime,observations,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,time_under_water_days,avg_time_under_water_days,var_95_daily,cvar_95_daily,worst_month,worst_year,hit_rate,average_win,average_loss,profit_factor,turnover,annual_turnover,exposure_ratio,active_day_ratio,return_per_unit_drawdown,return_per_unit_exposure,total_points,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days
high_vol_chop,70,0.11239165494152936,0.46733000976905514,0.0786025535221071,4.920713665287579,4.904871205641955,13.627419671726722,-0.03429336008038564,21.0,6.6,-0.006315195052963485,-0.011069659123051705,-0.006745096123074834,-0.011177423293609823,0.4857142857142857,0.004925841379271157,-0.006003953488334973,2.7894720906917754,5.773798634828547,20.78567508538277,0.4103056489446832,0.6285714285714286,3.277359077036393,0.2739217830185951,129.05836427861948,7.0,0.5714285714285714,0.015590848214801643,18.436909182659925,7.285714285714286
panic,1905,-0.04208657916113845,-0.005671763009947095,0.015258823891315762,-0.3651210188044936,-0.14258760411498467,-0.09566916787002797,-0.05928517134854261,1824.0,633.6666666666666,-0.00025,-0.0009506529648680163,-0.021497114769271963,-0.015126074738613715,0.005774278215223097,0.007751908302172738,-0.0009506529648680163,0.66938273485529,84.61726383269516,11.193464821962824,0.008464279277145199,0.013123359580052493,-0.709900607585459,-4.97225785954138,-36.236864513301015,10.0,0.6,-0.000561774994329356,-0.6670738318941491,3.5
recovery,68,-0.08679075191538599,-0.28570407239646767,0.08141590416289528,-4.089501886854655,-3.74509718806207,-3.1233237526199606,-0.0914743699422157,64.0,64.0,-0.010857545463607865,-0.015581789388656741,-0.02261981748174058,-0.0350911827426017,0.14705882352941177,0.0045357038654507366,-0.005633367611133803,0.3354790138085994,10.180752992028081,37.72867285280995,0.308460986081569,0.4411764705882353,-0.9487985757126467,-0.281367031266752,-62.46731045598304,7.0,0.14285714285714285,-0.012821742863460257,-8.923901493711863,5.142857142857143
sideways,2397,0.8701236908289218,0.06802670632853802,0.08332088968796238,0.8317201021118765,0.8223482746088249,0.48974911026123014,-0.13890113305617413,874.0,33.05882352941177,-0.007582205987857326,-0.013470991830183642,-0.04570030786778212,-0.06484047130172577,0.30621610346266165,0.005035177681672254,-0.004211717979271586,1.217072117466993,242.96824573339543,25.543595296126675,0.4389247472120974,0.5590321234876929,6.264338322402511,1.9823983413003148,473.79779852969807,143.0,0.5104895104895105,0.004679661520765999,3.3334396265363417,10.363636363636363
trend_up,664,0.637387051253693,0.20579730296384913,0.09425895200202897,2.033267313687688,2.381263613718733,3.2562296956937864,-0.06320110133385448,91.0,11.183673469387756,-0.009148548928143175,-0.014450047343522333,-0.029009311931888382,-0.014006274558598153,0.44879518072289154,0.005302899238086685,-0.004955169705110173,1.4696413825100454,75.62371243178079,28.700565561458973,0.605496721781985,0.7756024096385542,10.085062408750597,1.0526680464558988,438.0656771812083,54.0,0.6111111111111112,0.009403799478723248,8.112327355207558,10.518518518518519
