date,open,high,low,close,volume,log_close,log_return,simple_return,year,macd_fast_ema,macd_slow_ema,macd_line,macd_signal_line,macd_histogram,macd_raw_signal,macd_signal_executable,macd_slope_executable,realized_volatility,price_drawdown_recent_high,trend_strength,forecast_log_return,forecast_volatility,forecast_return_p05,forecast_return_p50,forecast_return_p95,ito_drift_annual,forecast_fit_start,forecast_fit_end,forecast_year,previous_close,split,volatility_scale,tail_risk_gate,posterior_uncertainty_proxy,uncertainty_penalty,forecast_volatility_p75,high_forecast_volatility,regime,base_defensive_position,profit_protection_cap,equity_protection_cap,open_trade_return_before,equity_drawdown_before,full_defensive_position,strategy,position,signal,turnover,strategy_return,benchmark_return,strategy_equity,benchmark_equity,point_change,strategy_points,benchmark_points,strategy_cumulative_points,benchmark_cumulative_points,entry,exit
2006-01-03,306.9,306.9,305.3,305.3,32270.0,5.721294899740832,-0.007180187505739788,-0.0071544715447153795,2006,307.71803602969896,310.2201793231269,-2.5021432934279346,-0.5557267112702745,-1.94641658215766,0.0,0.0,-0.22499668311326104,0.0645769638632872,-0.04680719156850599,0.0629104735568613,0.001478294508361843,0.00513715335181732,-0.0073476923449516205,0.0010221595674091647,0.010297819406132135,0.3758571087955119,2000-07-31,2005-12-30,2006,307.5,train,1.0,1.0,0.04403685555600578,0.957820592901815,,0.0,sideways,0.0,1.0,1.0,0.0,0.0,0.0,MACD + Ito hard gate,0.0,0.0,0.0,-0.0,-0.0071544715447153795,1.0,0.9928455284552846,-2.1999999999999886,-0.0,-2.1999999999999886,-0.0,-2.1999999999999886,0,0
2006-01-04,305.3,305.3,305.1,305.1,284800.0,5.720639591722624,-0.0006553080182083448,-0.0006550933508024936,2006,306.97002573549923,309.8409067806731,-2.87088104517386,-0.9119043011015954,-1.9589767440722645,0.0,0.0,-0.5736000660294849,0.06733376257949206,-0.053626782393056405,0.06748251748251755,0.0014238984919121601,0.006491588385375335,-0.01005696886808258,0.0015535452556861872,0.012462725748782875,0.3641431329174382,2000-07-31,2005-12-30,2006,305.3,train,1.0,1.0,0.054424830174195415,0.9483843431824304,,0.0,sideways,0.0,1.0,1.0,0.0,0.0,0.0,MACD + Ito hard gate,0.0,0.0,0.0,-0.0,-0.0006550933508024936,1.0,0.9921951219512196,-0.19999999999998863,-0.0,-0.19999999999998863,-0.0,-2.3999999999999773,0,0
2006-01-05,305.6,306.7,305.6,306.7,191325.0,5.725870071120206,0.005230479397582144,0.005244182235332628,2006,306.8928755253566,309.60824701914174,-2.715371493785142,-1.1893607922836793,-1.5260107015014626,0.0,0.0,-0.3687377517459254,0.06696027369718527,-0.05424674519528827,0.06566538595878457,0.0014197093955883515,0.004920658344191476,-0.005858814373764642,0.0015393957731792201,0.009770202223555237,0.3608231376490424,2000-07-31,2005-12-30,2006,305.1,train,1.0,1.0,0.0,1.0,,0.0,sideways,0.0,1.0,1.0,0.0,0.0,0.0,MACD + Ito hard gate,0.0,0.0,0.0,0.0,0.005244182235332628,1.0,0.9973983739837399,1.599999999999966,0.0,1.599999999999966,0.0,-0.8000000000000114,0,0
2006-01-06,307.5,307.5,307.5,307.5,1141120.0,5.728475087246572,0.0026050161263659888,0.002608412129116333,2006,307.066339660969,309.4520805732794,-2.385740912310382,-1.3734192722877874,-1.0123216400225947,0.0,0.0,0.15550955138871814,0.06994642397026331,-0.049287042777433454,0.06456091634848993,0.001442429044452506,0.005877906343169282,-0.009259313992163612,0.0013715979388800753,0.009751783786524087,0.36785286668977024,2000-07-31,2005-12-30,2006,306.7,train,1.0,1.0,0.0,1.0,,0.0,trend_up,0.0,1.0,1.0,0.0,0.0,0.0,MACD + Ito hard gate,0.0,0.0,0.0,0.0,0.002608412129116333,1.0,1.0,0.8000000000000114,0.0,0.8000000000000114,0.0,0.0,0,0
2006-01-09,307.8,307.8,306.3,306.3,2752682.0,5.724565013838729,-0.0039100734078427735,-0.0039024390243902474,2006,306.8473854721207,309.21859312340683,-2.371207651286113,-1.5269251767490684,-0.8442824745370447,0.0,0.0,0.32963058147475977,0.07090274959286998,-0.04680719156850599,0.05561277033985568,0.0014791712124855546,0.00511440751716844,-0.007630014719875097,0.0007082414893950463,0.00964139836707379,0.3760506451186318,2000-07-31,2005-12-30,2006,307.5,train,1.0,1.0,0.026447269535905704,0.9742341664098698,0.005877906343169282,0.0,trend_up,0.0,1.0,1.0,0.0,0.0,0.0,MACD + Ito hard gate,0.0,0.0,0.0,-0.0,-0.0039024390243902474,1.0,0.9960975609756098,-1.1999999999999886,-0.0,-1.1999999999999886,0.0,-1.1999999999999886,0,0
2006-01-10,306.8,306.8,306.4,306.4,1587670.0,5.724891437866436,0.0003264240277065511,0.00032647730982682255,2006,306.7195610515148,309.0098084475989,-2.290247396084112,-1.644359364339075,-0.6458880317450371,0.0,0.0,0.014533261024268995,0.07168245948510955,-0.050526968381897075,0.048613488531324744,0.001436427367454869,0.004904845262541324,-0.0073000570673309555,0.0011159846507645499,0.009031432510956026,0.36501441573884413,2000-07-31,2005-12-30,2006,306.3,train,1.0,1.0,0.01205610565011872,0.9880875125570492,0.005692718095331291,0.0,sideways,0.0,1.0,1.0,0.0,0.0,0.0,MACD + Ito hard gate,0.0,0.0,0.0,0.0,0.00032647730982682255,1.0,0.9964227642276421,0.0999999999999659,0.0,0.0999999999999659,0.0,-1.1000000000000227,0,0
2006-01-11,305.8,305.8,305.0,305.0,1162280.0,5.720311776607412,-0.004579661259024093,-0.004569190600522077,2006,306.22825789393914,308.71278559962866,-2.4845277056895156,-1.7736160322391428,-0.7109116734503729,0.0,0.0,0.08096025520200101,0.0707289038911579,-0.05021698698078125,0.0518365945760384,0.0014154865088510287,0.004130138121210262,-0.005610790342001951,0.0014724995900385089,0.008248488301513108,0.3588564288042493,2000-07-31,2005-12-30,2006,306.4,train,1.0,1.0,0.019952983781119427,0.9804373494676679,0.005507529847493301,0.0,trend_up,0.0,1.0,1.0,0.0,0.0,0.0,MACD + Ito hard gate,0.0,0.0,0.0,-0.0,-0.004569190600522077,1.0,0.991869918699187,-1.3999999999999773,-0.0,-1.3999999999999773,0.0,-2.5,0,0
2006-01-12,304.3,304.3,304.2,304.2,1237780.0,5.717685379825192,-0.0026263967822197642,-0.0026229508196721207,2006,305.648755638528,308.3785051848414,-2.7297495463134283,-1.920713495942879,-0.8090360503705492,0.0,0.0,-0.19428030960540354,0.06233054409068545,-0.054556726596404315,0.043091655266757956,0.0013626458575277428,0.004789707549340287,-0.006395669310422952,0.0011319890622713581,0.00912201163358859,0.34628457868673923,2000-07-31,2005-12-30,2006,305.0,train,1.0,1.0,0.0,1.0,0.005322341599655311,0.0,sideways,0.0,1.0,1.0,0.0,0.0,0.0,MACD + Ito hard gate,0.0,0.0,0.0,-0.0,-0.0026229508196721207,1.0,0.9892682926829268,-0.8000000000000114,-0.0,-0.8000000000000114,0.0,-3.3000000000000114,0,0
2006-01-13,305.8,306.8,305.8,306.8,2629620.0,5.726196069493101,0.0085106896679088,0.008547008547008517,2006,305.97768259894855,308.26157887485317,-2.283896275904624,-1.9765877697831478,-0.3073085061214762,0.0,0.0,-0.2452218406239126,0.05952232470651045,-0.05703657780533178,0.018413123535319764,0.0013661227410351876,0.004319127923364478,-0.0059920321993253735,0.0015473784038297046,0.008487466230651785,0.3466193501112938,2000-07-31,2005-12-30,2006,304.2,train,1.0,1.0,0.01897036407950159,0.9813828107781735,0.00513715335181732,0.0,sideways,0.0,1.0,1.0,0.0,0.0,0.0,MACD + Ito hard gate,0.0,0.0,0.0,0.0,0.008547008547008517,1.0,0.9977235772357723,2.6000000000000227,0.0,2.6000000000000227,0.0,-0.6999999999999886,0,0
2006-01-17,307.8,308.9,307.8,308.9,1790.0,5.733017599924536,0.0068215304314351854,0.006844850065188979,2006,306.8126304278204,308.30886932856777,-1.4962389007473575,-1.9026879437776416,0.40644904303028406,1.0,0.0,0.4458532704088043,0.06968698331707411,-0.04897706137631741,0.008878658336073597,0.001412811870982993,0.007607979125330561,-0.011439829096884015,0.0007704553535363267,0.014327553431086293,0.36336236511656883,2000-07-31,2005-12-30,2006,306.8,train,0.993600184182432,1.0,0.029449612636327505,0.9713928566538486,0.005692718095331291,1.0,sideways,0.0,1.0,1.0,0.0,0.0,0.0,MACD + Ito hard gate,0.0,0.0,0.0,0.0,0.006844850065188979,1.0,1.0045528455284551,2.099999999999966,0.0,2.099999999999966,0.0,1.3999999999999773,0,0
