strategy,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days,turnover,annual_turnover,exposure_ratio
Buy & Hold,1.0,1.0,5.063188923729558,1557.71625,5104.0,1.0,0.0493730407523511,1.0
MACD only,192.0,0.515625,0.02421479088797222,15.415126614583334,15.380208333333334,383.0,18.90987460815047,0.5411442006269592
Ito-Bayes-GARCH only,133.0,0.46616541353383456,0.011583021144862479,6.8667348120300655,13.421052631578947,266.0,13.133228840125392,0.3236677115987461
MACD + Ito hard gate,127.0,0.47244094488188976,0.014726190913171249,9.973949999999999,8.716535433070867,254.0,12.54075235109718,0.1920062695924765
MACD + volatility targeting,192.0,0.5,0.013052466740462494,9.208400288669507,15.380208333333334,428.30699510743864,21.14681872395661,0.40287863821669484
MACD + tail-risk gate,241.0,0.5186721991701245,0.006757636813770116,5.437214730290457,9.103734439834025,481.0,23.74843260188088,0.38283699059561127
MACD + full defensive exposure,241.0,0.5103734439834025,0.004806846456920612,3.909616867303908,9.103734439834025,419.163773624728,20.695390077082966,0.2978004774359858
