strategy,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,time_under_water_days,avg_time_under_water_days,var_95_daily,cvar_95_daily,worst_month,worst_year,hit_rate,average_win,average_loss,profit_factor,turnover,annual_turnover,exposure_ratio,active_day_ratio,return_per_unit_drawdown,return_per_unit_exposure,total_points,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days
Buy & Hold,5.063188923729558,0.09306083445020508,0.22326649167285437,0.5105583515200531,0.6695421778874764,0.11649596016320196,-0.7988331468304475,2744.0,90.03636363636363,-0.024168899545486976,-0.035111489291823596,-0.24899398088847058,-0.6595542706737718,0.5411442006269592,0.009632205063858536,-0.010404877499396205,1.0950287904007092,1.0,0.0493730407523511,1.0,1.0,6.338230885659807,5.063188923729558,1557.71625,1.0,1.0,5.063188923729558,1557.71625,5104.0
MACD only,59.563818998648905,0.2245972717934781,0.14282596405778644,1.4904605273981246,1.562412766524304,0.6779483507403161,-0.3312896499389947,430.0,24.876344086021504,-0.012729515749372557,-0.021943122603117073,-0.1297636177860404,-0.11955368037202607,0.3089733542319749,0.009008950612979037,-0.007217740349424351,1.4357115359151498,383.0,18.90987460815047,0.5411442006269592,0.5411442006269592,179.7937816941075,110.07014198736569,2959.7043100000005,192.0,0.515625,0.02421479088797222,15.415126614583334,15.380208333333334
Ito-Bayes-GARCH only,2.5931698076431124,0.06518643023913873,0.12080357038484225,0.5833168431951952,0.4421733355428415,0.17345627873730762,-0.3758089975968001,2665.0,108.1304347826087,-0.009443202170899584,-0.020528172142425936,-0.16930468282180788,-0.0780532634570329,0.18083855799373041,0.009289415416192463,-0.008300695660108562,1.1996994043305302,266.0,13.133228840125392,0.3236677115987461,0.3236677115987461,6.900233427687343,8.011827299158865,913.2757299999987,133.0,0.46616541353383456,0.011583021144862479,6.8667348120300655,13.421052631578947
MACD + Ito hard gate,4.5255341803898075,0.08806107807562058,0.08342618405258952,1.0534560233207455,0.6607406475370406,0.5082851576724311,-0.1732513270284637,1988.0,83.54237288135593,-0.003406100982602289,-0.011785426807990378,-0.062040219561317,-0.06896730461320377,0.11383228840125392,0.008743291111714405,-0.006285363060546814,1.5394351506968462,254.0,12.54075235109718,0.1920062695924765,0.1920062695924765,26.121209332187693,23.569720874193447,1266.69165,127.0,0.47244094488188976,0.014726190913171249,9.973949999999999,8.716535433070867
MACD + volatility targeting,9.365963785277723,0.12238987029350357,0.08779594633532353,1.3593545123828488,1.3866425730738023,0.6252897738906311,-0.19573304314890438,767.0,27.046511627906977,-0.008622890586988336,-0.013726054009816533,-0.048923934795617186,-0.06387664464059384,0.3081896551724138,0.0057402361895487345,-0.004794898594126968,1.3655725932265472,428.30699510743864,21.14681872395661,0.40287863821669484,0.5411442006269592,47.85070335902632,23.247605846602585,1768.0128554245457,192.0,0.5,0.013052466740462494,9.208400288669507,15.380208333333334
MACD + tail-risk gate,3.52521438399992,0.07738493591745543,0.0903009979717031,0.8707928565397925,0.7409240792802043,0.3969596208918763,-0.1949440997136923,928.0,40.63865546218487,-0.007531471280093965,-0.014879941806417277,-0.05378637623320459,-0.07559703927846118,0.21316614420062696,0.00683087424744767,-0.005294063008369093,1.2727425611344696,481.0,23.74843260188088,0.38283699059561127,0.38283699059561127,18.08320636109162,9.208134194439914,1310.3687500000005,241.0,0.5186721991701245,0.006757636813770116,5.437214730290457,9.103734439834025
MACD + full defensive exposure,1.9797234898141136,0.05538643836066681,0.06856252440498331,0.8206760935600892,0.6898536358063319,0.3763152795722447,-0.14718094472173504,1518.0,47.271844660194176,-0.005920588812445577,-0.011324648238365747,-0.037440794714475034,-0.05090526836991527,0.21297021943573669,0.005128050623892267,-0.004009537381470701,1.256991827776611,419.163773624728,20.695390077082966,0.2978004774359858,0.38283699059561127,13.45094973780092,6.647818387865642,942.217665020242,241.0,0.5103734439834025,0.004806846456920612,3.909616867303908,9.103734439834025
